ユーザー名,名前,アルファベット,コース名,モジュール,レッスン,標準視聴時間,動画時間,進捗状況,視聴完了,視聴開始時間,視聴完了時間,標準視聴時間_分,Highlight
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第一章　関数進階,関数の進階,00:48:00,00:48:52,100%,True,2025-09-24 09:01,2025-09-24 09:49,48.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第一章　関数進階,関数と関数名,00:24:00,00:24:12,100%,True,2025-09-24 09:54,2025-09-24 10:19,24.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第一章　関数進階,戻り値,00:26:00,00:26:18,100%,True,2025-09-24 10:21,2025-09-24 10:47,26.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第一章　関数進階,作用域（スコープ）,00:43:00,00:43:00,100%,True,2025-09-24 13:55,2025-09-24 14:38,43.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第一章　関数進階,関数のまとめ,00:16:00,00:16:49,100%,True,2025-09-24 14:41,2025-09-24 14:57,16.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第一章　関数進階,実戦演習（１）,00:15:00,00:15:06,100%,True,2025-09-24 15:01,2025-09-24 15:16,15.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第一章　関数進階,実戦演習（２）,00:32:00,00:32:27,100%,True,2025-09-24 15:21,2025-09-24 15:54,32.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第一章　関数進階,実戦演習（３）,00:26:00,00:26:05,100%,True,2025-09-24 15:57,2025-09-24 16:23,26.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第一章　関数進階,実戦演習（４）,00:23:00,00:23:28,100%,True,2025-09-24 16:25,2025-09-24 16:48,23.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第二章　高等関数,高等関数の 紹介,00:42:00,00:42:52,100%,True,2025-09-25 09:19,2025-09-25 10:01,42.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第二章　高等関数,実戦演習,00:33:00,00:33:17,100%,True,2025-09-25 10:06,2025-09-25 10:40,33.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第二章　高等関数,クローズド（閉包）,00:19:00,00:19:50,100%,True,2025-09-25 13:38,2025-09-25 13:57,19.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第二章　高等関数,偽の適用シーン,00:24:00,00:24:28,100%,True,2025-09-25 14:00,2025-09-25 14:25,24.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第二章　高等関数,実戦演習（１）,00:19:00,00:19:14,100%,True,2025-09-25 14:28,2025-09-25 14:47,19.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第二章　高等関数,実戦演習（２）,00:32:00,00:32:11,100%,True,2025-09-25 14:49,2025-09-25 15:21,32.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第二章　高等関数,実戦演習（３）,00:28:00,00:28:34,100%,True,2025-09-25 15:24,2025-09-25 15:53,28.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第二章　高等関数,実戦演習（４）,00:31:00,00:31:30,100%,True,2025-09-25 15:56,2025-09-25 16:27,31.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第二章　高等関数,実戦演習（５）,00:18:00,00:18:12,100%,True,2025-09-26 13:48,2025-09-26 14:06,18.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第三章　組み込み関数と内包表記,組み込み関数と内包表記の紹介,00:30:00,00:30:19,100%,True,2025-09-26 14:11,2025-09-26 14:41,30.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第三章　組み込み関数と内包表記,ジェネレーター,00:20:00,00:20:00,100%,True,2025-09-26 14:46,2025-09-26 15:06,20.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第三章　組み込み関数と内包表記,組み込み関数,00:35:00,00:35:01,100%,True,2025-09-26 15:10,2025-09-26 15:45,35.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第三章　組み込み関数と内包表記,推論式,00:23:00,00:23:25,100%,True,2025-09-26 15:50,2025-09-26 16:13,23.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第三章　組み込み関数と内包表記,練習問題,00:17:00,00:17:40,100%,True,2025-09-26 16:15,2025-09-26 16:33,17.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第三章　組み込み関数と内包表記,組み込み関数と内包表記のまとめ,00:04:00,00:04:31,100%,True,2025-09-29 09:24,2025-09-29 09:28,4.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第三章　組み込み関数と内包表記,実戦演習,00:16:00,00:16:49,100%,True,2025-09-29 09:33,2025-09-29 09:50,16.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第四章　モジュール,モジュールとパッケージ,00:33:00,00:33:23,100%,True,2025-09-29 09:52,2025-09-29 10:25,33.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第四章　モジュール,インポートの別名,00:27:00,00:27:02,100%,True,2025-09-29 10:29,2025-09-29 10:56,27.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第四章　モジュール,組み込みモジュール,00:30:00,00:30:46,100%,True,2025-09-29 13:07,2025-09-29 13:37,30.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第四章　モジュール,datetime,00:19:00,00:19:25,100%,True,2025-09-29 13:40,2025-09-29 14:00,19.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第四章　モジュール,colltections,00:33:00,00:33:47,100%,True,2025-09-29 14:03,2025-09-29 14:36,33.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第四章　モジュール,実戦演習,00:09:00,00:09:13,100%,True,2025-09-29 14:38,2025-09-29 14:48,9.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第五章　オブジェクト指向プログラミング,関数型プログラミング,00:21:00,00:21:07,100%,True,2025-09-29 14:50,2025-09-29 15:11,21.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第五章　オブジェクト指向プログラミング,オブジェクトとself,00:30:00,00:30:52,100%,True,2025-09-29 15:13,2025-09-29 15:44,30.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第五章　オブジェクト指向プログラミング,実戦演習（１）,00:30:00,00:30:06,100%,True,2025-09-29 15:46,2025-09-29 16:16,30.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第五章　オブジェクト指向プログラミング,実戦演習（２）,00:21:00,00:21:05,100%,True,2025-09-29 16:20,2025-09-29 16:41,21.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第六章　オブジェクト指向プログラミングの応用,メンバー,00:21:00,00:21:54,100%,True,2025-09-30 09:29,2025-09-30 09:50,21.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第六章　オブジェクト指向プログラミングの応用,メソッド,00:29:00,00:29:07,100%,True,2025-09-30 09:53,2025-09-30 10:23,29.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第六章　オブジェクト指向プログラミングの応用,メンバー修飾子,00:33:00,00:33:27,100%,True,2025-09-30 10:25,2025-09-30 10:58,33.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第六章　オブジェクト指向プログラミングの応用,特殊メンバー,00:37:00,00:37:21,100%,True,2025-09-30 13:47,2025-09-30 14:24,37.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第六章　オブジェクト指向プログラミングの応用,ジェネレータ,00:17:00,00:17:12,100%,True,2025-09-30 14:28,2025-09-30 14:45,17.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第六章　オブジェクト指向プログラミングの応用,実戦演習（１）,00:22:00,00:22:50,100%,True,2025-09-30 14:50,2025-09-30 15:13,22.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第六章　オブジェクト指向プログラミングの応用,実戦演習（２）,00:26:00,00:26:43,100%,True,2025-09-30 15:15,2025-09-30 15:42,26.0,
dynamics004,李　小龍,LI　XIAOLONG,AIプログラミング中級コース,第六章　オブジェクト指向プログラミングの応用,実戦演習（３）,00:13:00,00:13:13,100%,True,2025-09-30 15:45,2025-09-30 15:58,13.0,
